Total words,Number words male,Number words female,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
7495,2846,2213,2436,1500,5,2006,4,46,43.4,43,42,58,Male
6390,3622,245,2523,2278,7,1999,1,19,39.4,53,29,53,Male
6341,1980,3117,1244,282,6,2000,5,115,50.25,45,47,36,Male
11116,6288,1831,2997,1781,10,1996,3,39,50.33333333,32,56,32,Male
6206,1205,2767,2234,842,4,2009,3,7,42,35.66666667,53,38,Male
5271,2190,365,2716,2391,12,1994,2,191,38.11111111,39,48,48,Female
9104,4544,744,3816,215,5,1980,2,258,38.25,30,31,34,Female
4769,2294,1120,1355,707,9,2010,4,4,53.42857143,45.66666667,64,39,Male
7878,1559,2672,3647,975,6,1997,1,144,53.75,30,41,30,Male
6596,2166,1158,3272,1967,6,2010,7,7,41.5,39.16666667,36,42,Female
10043,5712,307,4024,3827,9,2010,2,49,40.83333333,55,55,55,Male
9582,6148,556,2878,2478,9,1999,2,26,43.14285714,44.5,44,43,Male
9429,5649,2552,1228,619,12,2004,9,76,38.83333333,32.14285714,40,32,Male
3536,952,755,1829,1074,4,2010,1,43,40.33333333,37,42,37,Male
4556,3019,0,1537,813,9,2009,1,45,56.25,32,32,33,Female
7193,2089,1138,3966,2950,8,2013,2,29,45.4,41,44,41,Male
6978,2304,1174,3500,2432,6,1993,2,133,48.6,40,46,44,Male
4563,2538,665,1360,695,8,2009,1,34,45.2,37,39,37,Male
4555,1111,979,2465,2036,4,2010,4,277,38.25,43,48,17,Male
7074,2741,2164,2169,1175,5,2006,4,166,38.4,37,57,46,Female
10235,4290,1823,4122,2840,11,2005,7,13,45.42857143,33.85714286,20,53,Female
6965,2982,938,3045,1850,4,2008,2,16,41.25,42.5,23,30,Female
5612,1578,2043,1991,1517,6,2003,3,13,50,46.66666667,28,49,Female
10827,5046,701,5080,4672,10,2010,2,47,48.875,29,54,29,Male
3524,1042,1262,1220,434,4,2006,2,49,46.66666667,24,41,12,Male
6650,3394,1152,2104,1573,7,2003,3,249,47,38.33333333,63,50,Male
14678,5659,1604,7415,4201,7,2000,6,203,42.83333333,39,33,64,Female
19338,5736,6765,6837,4214,5,1982,6,13,55.4,44.66666667,61,48,Male
6266,3501,565,2200,680,7,1973,3,195,42.83333333,28,41,34,Female
6214,3875,727,1612,1106,10,2010,2,113,49.44444444,34,43,28,Male
6027,1630,2802,1595,694,4,1998,7,74,26.33333333,27.83333333,18,23,Female
5106,2035,1672,1399,493,5,2002,4,23,40.4,42,48,43,Male
9566,5113,864,3589,2911,9,2013,2,3,41.375,47,37,49,Male
6222,2491,824,2907,2211,5,1991,2,86,38.8,31.5,42,34,Male
4496,1805,499,2192,903,2,2005,4,121,34,24.33333333,43,34,Female
11233,1580,7715,1938,1497,5,2010,9,41,45.2,43.22222222,61,36,Female
6197,2753,1333,2111,1253,7,1994,4,45,48.85714286,31.5,34,28,Male
4268,1894,1501,873,164,5,1982,6,107,19,23,23,19,Female
5157,1816,2105,1236,306,8,1986,6,44,35.42857143,25.5,38,22,Male
2096,1148,397,551,261,5,1993,2,33,37.5,37,58,43,Male
10518,1722,6206,2590,1823,6,1991,9,165,40,48.22222222,25,32,Female
1672,0,832,840,202,1,2005,2,149,43,39,43,39,Male
8641,4510,1493,2638,1342,9,1999,2,122,36.66666667,38.5,46,50,Male
7486,1930,675,4881,4641,5,1997,3,91,49.2,51.5,53,66,Male
10950,4193,2419,4338,2324,11,1999,3,176,47.57142857,34.5,45,41,Male
7091,1155,1154,4782,3967,3,2010,2,67,38,29.5,35,28,Male
12645,8871,962,2812,2313,15,1972,3,690,43.26666667,31.33333333,32,26,Male
16793,9284,2346,5163,4191,16,1974,5,266,40.66666667,29.75,34,28,Male
13906,3157,2850,7899,5528,7,1990,4,96,46.6,28.33333333,36,36,Male
7421,4199,750,2472,1722,12,2010,1,38,42.6,42,40,42,Male
3677,1827,572,1278,472,5,2007,3,73,43.75,23,18,64,Female
3296,1655,783,858,182,5,1988,5,37,54.4,19.66666667,25,44,Female
3788,1160,1774,854,220,5,2002,4,45,24.6,24.25,30,25,Male
3053,1352,661,1040,379,5,1990,1,11,38.2,26,29,26,Male
12708,7809,2015,2884,1633,10,2009,4,350,42.22222222,19.25,20,19,Male
10804,4155,2673,3976,1717,11,1988,6,2,30.88888889,27.2,17,19,Female
4672,875,1786,2011,929,3,2008,4,2,51.33333333,34.33333333,37,52,Male
10118,661,5216,4241,566,4,2013,5,27,38.66666667,33,39,29,Male
8174,4370,1261,2543,944,12,1992,4,40,37.5,28.5,36,36,Female
4073,1695,589,1789,1331,6,2012,3,6,53.16666667,45.66666667,67,50,Female
7158,3990,829,2339,1510,7,2003,1,97,30.4,54,17,54,Male
6833,3599,1733,1501,371,6,1987,5,22,47.8,34.66666667,46,37,Female
12030,1699,1793,8538,7665,5,2007,3,17,38.75,44.5,29,31,Male
6097,2244,1816,2037,471,3,1999,2,69,35,24.5,48,23,Male
11918,6739,1175,4004,285,4,2010,4,33,53,35,34,41,Female
6077,3384,1207,1486,701,10,1981,4,56,51.125,32.5,33,59,Female
6199,2756,2062,1381,416,7,2003,8,7,47.66666667,41.14285714,36,53,Female
8482,804,2709,4969,2402,4,2007,2,15,49.25,27.5,42,30,Male
4167,2170,1027,970,116,6,2003,2,74,39.33333333,28.5,37,31,Male
8229,2886,1400,3943,2829,8,2006,3,0,39.75,34,35,34,Male
9791,1622,5072,3097,2231,4,2005,5,44,54.5,55.6,33,34,Female
7933,2808,2507,2618,491,14,2007,3,8,39.58333333,49.33333333,61,32,Male
12004,3297,649,8058,7523,9,2009,2,38,43.5,40,39,32,Male
14698,8785,2050,3863,2365,16,2009,3,140,40.73333333,26,53,26,Male
8565,2761,1613,4191,3622,8,2010,4,7,39.83333333,32.25,18,19,Male
5292,232,2881,2179,544,2,2010,2,0,43.5,41.5,43,42,Male
5357,1469,1953,1935,376,3,1983,2,116,27.33333333,26,29,30,Male
8081,3712,2451,1918,286,6,1987,4,46,33.4,39.25,27,50,Male
5705,3416,1157,1132,802,10,2003,4,50,30.57142857,30.25,25,46,Male
7462,4207,1596,1659,352,7,1997,2,434,47,25,45,37,Male
7369,3730,1121,2518,1531,6,1984,2,235,38.16666667,37,23,37,Male
4155,1858,476,1821,1615,7,2013,3,1,50.16666667,37.5,27,51,Male
8746,2798,2702,3246,915,9,1992,3,1,44.5,19,35,27,Male
8581,3461,1338,3782,2941,11,2001,3,77,44.88888889,45,42,32,Male
9986,2772,1878,5336,3808,7,1979,2,367,50.71428571,30.5,42,30,Male
7923,3954,1696,2273,1180,6,2013,5,14,45.6,31,45,14,Male
12940,4165,2320,6455,4135,7,2004,1,55,40.66666667,69,48,69,Male
10936,6422,1378,3136,1758,12,1992,1,151,40.22222222,34,35,34,Male
3353,1106,731,1516,1150,7,1988,3,17,49.28571429,44.5,49,40,Male
12056,5369,2299,4388,2924,7,1985,3,37,34.33333333,21.5,23,18,Male
5400,314,2155,2931,776,2,1994,1,67,44.5,13,53,13,Male
6630,1552,1923,3155,2181,2,2010,3,58,41,45,25,32,Female
5705,1262,2891,1552,597,5,2006,8,7,45.2,39.42857143,33,31,Male
8187,2697,2852,2638,691,6,2006,3,79,50.5,22,43,34,Male
5605,1600,760,3245,2862,4,1976,3,102,39.25,29,34,24,Male
11486,5300,1193,4993,4468,9,2007,5,5,30.25,23.75,26,31,Male
5832,2351,1852,1629,433,4,2003,3,30,49.25,38.33333333,35,32,Male
4951,2301,685,1965,1662,4,2012,3,233,43.25,50.33333333,38,30,Male
7164,3745,1733,1686,519,7,1987,2,71,28.71428571,30.5,16,39,Male
3542,1857,859,826,302,7,1997,3,7,46.71428571,28.66666667,22,29,Male
5875,1450,2303,2122,305,6,2000,3,27,51,36.33333333,30,29,Male
8954,2560,3495,2899,2241,9,2010,8,1,49.28571429,39,34,55,Female
7181,2635,1856,2690,2142,9,2004,7,9,57,27.5,23,57,Female
5753,3712,693,1348,1022,14,1996,3,74,45,31,59,31,Male
8614,1743,1973,4898,3636,4,1994,2,212,51,40.5,38,32,Male
7479,989,3692,2798,2174,2,2004,7,120,34.5,24.85714286,18,26,Female
5539,1686,2595,1258,431,4,2005,5,77,49.5,39.2,26,46,Female
7267,5538,103,1626,1523,11,1990,1,56,29.09090909,26,31,26,Male
7440,3868,902,2670,1768,10,2007,1,61,47.66666667,47,46,47,Male
6581,4573,197,1811,66,9,1998,2,93,45.28571429,33,23,43,Female
5129,2833,1569,727,43,12,1995,4,75,30.45454545,29.75,52,28,Male
12393,5129,2088,5176,1324,3,1996,4,81,55,49.5,54,47,Female
9221,1556,5776,1889,1176,4,2009,12,1,60.25,37.41666667,51,61,Female
8783,1971,2182,4630,2985,6,2002,4,52,50.6,43.25,53,38,Male
3484,1006,627,1851,1156,2,1996,4,19,41.5,48.75,62,27,Female
6292,1284,3499,1509,139,3,2008,4,123,43,43.5,40,41,Male
10085,5032,1655,3398,2126,12,1994,5,34,43.90909091,31.5,14,42,Female
4319,1816,917,1586,669,7,1991,1,179,49.83333333,46,65,46,Male
2263,1351,339,573,153,4,1987,3,7,33.25,20.66666667,25,32,Female
8330,3406,2195,2729,1200,8,2013,3,18,60.66666667,81.33333333,43,84,Male
6315,1432,2956,1927,715,2,2010,5,2,27,37,25,27,Female
5706,1580,1139,2987,2355,4,1994,4,37,42.25,37,30,8,Female
2879,1119,1101,659,11,5,1988,3,104,25.75,18,20,19,Male
4031,1348,1611,1072,308,5,1989,4,48,28.4,31,29,23,Male
7023,2157,3206,1660,205,8,1987,6,99,29.125,31.83333333,33,23,Male
1368,130,709,529,148,2,1980,2,333,56,42,48,41,Male
25432,9224,2122,14086,12921,21,1995,6,27,51.05555556,39.5,58,39,Male
4468,204,2042,2222,1170,3,2009,2,1,30,44,19,39,Male
5504,1152,465,3887,3676,6,2007,3,44,39.5,41.5,45,30,Male
8229,4068,312,3849,3537,10,2000,1,73,45.66666667,42,39,42,Male
10532,4894,2671,2967,1505,7,1982,3,384,34.28571429,26,33,27,Male
5174,258,2496,2420,466,2,1981,2,372,67.5,59,76,74,Male
10553,4660,1939,3954,2138,11,1954,2,185,38.71428571,33.5,30,30,Male
6449,1777,1700,2972,1880,6,1997,2,10,41,30,49,32,Male
11491,3522,3234,4735,2900,7,1994,4,41,43,40.75,30,29,Female
9602,7140,160,2302,2142,15,1995,1,13,38.23076923,38,28,38,Male
8018,5014,238,2766,860,9,1993,3,212,53,26,26,39,Female
10271,6524,1860,1887,1209,9,2012,6,23,41.28571429,35.5,37,38,Male
7844,3988,1403,2453,1050,10,1968,1,172,43.7,46,45,46,Male
5697,3155,1156,1386,1012,7,1972,4,477,44.85714286,33.75,42,50,Male
6332,2202,1955,2175,1007,5,2002,6,15,52.6,37.6,30,41,Female
9223,5501,1292,2430,1540,8,2006,2,70,55.125,23,38,22,Male
7769,3864,1132,2773,1850,13,2009,2,112,47.54545455,36.5,46,34,Male
10653,5295,2313,3045,1829,7,2000,4,11,48.4,28.5,49,25,Male
12807,8559,951,3297,2917,11,1994,3,51,53.1,45.66666667,37,37,Male
3808,559,1688,1561,753,2,2010,3,2,32.5,45,42,62,Male
7653,4786,1054,1813,759,10,2007,1,260,51.71428571,43,38,43,Male
8499,3701,2897,1901,637,6,2005,3,39,34.6,30,34,26,Male
8121,2199,3211,2711,549,6,2000,2,5,36.5,49,29,68,Male
5459,1841,1748,1870,906,8,2000,3,52,59.28571429,34.5,40,30,Male
5942,1792,911,3239,1848,4,2002,5,193,38.66666667,29,34,28,Female
9464,3969,3172,2323,280,10,1996,3,91,33.5,38.66666667,22,17,Male
9782,4667,2474,2641,1424,9,2002,4,9,28.5,40.75,25,24,Male
8131,1975,2939,3217,1047,5,1989,3,45,31.4,19.66666667,23,19,Male
8746,5751,1190,1805,519,9,2001,3,109,35.88888889,28,25,55,Female
7426,2929,2932,1565,695,4,1996,6,202,33,24.75,23,26,Female
6616,1784,1138,3694,2556,5,1989,1,128,38.4,35,49,35,Male
8896,4362,603,3931,2843,11,2010,3,65,54.85714286,41,45,57,Female
4912,1466,1008,2438,1572,5,2013,2,1,27.66666667,17,29,17,Male
7841,5154,1116,1571,1122,12,1985,4,81,41.90909091,34.5,38,40,Male
9383,3978,1930,3475,1732,5,1998,2,30,44.75,34,43,34,Male
5713,1571,1047,3095,2187,4,2009,2,10,32.5,49,49,49,Male
14822,8471,1549,4802,3811,10,1995,3,16,40.875,36.33333333,56,51,Male
3081,1905,0,1176,62,5,1977,1,495,40,31,31,40,Female
4082,1808,793,1481,392,2,2002,2,22,39,35,33,33,Female
14590,6405,3737,4448,1340,10,1959,4,426,52,33.75,34,33,Male
9087,4219,1247,3621,1310,5,2005,4,42,43,46.75,37,42,Female
4201,883,1072,2246,1748,4,2010,3,69,28,49,28,24,Male
8445,4520,1131,2794,1663,9,2000,1,146,55.22222222,41,70,41,Male
5710,2717,1491,1502,622,7,1979,3,285,43.85714286,41.66666667,32,31,Male
6665,3306,1134,2225,1404,11,1984,3,197,49.1,55.66666667,53,28,Male
9163,4488,1852,2823,1218,12,1986,2,257,52.33333333,44.5,55,35,Male
6756,4180,532,2044,1668,9,1989,2,120,53.33333333,47,58,57,Male
8970,5467,1493,2010,1441,10,1994,5,157,50.4,38,54,39,Male
8254,5075,363,2816,2453,10,1998,1,130,46.4,43,58,43,Male
10041,5496,736,3809,3329,8,2002,2,64,49,40.5,62,47,Male
6759,2028,1290,3441,2676,4,2005,3,4,41.25,42,34,37,Male
9650,3144,3088,3418,1511,5,2010,2,1,54,46,67,35,Male
5310,2059,1781,1470,505,5,2002,2,96,30.8,45.5,41,46,Male
4867,2243,862,1762,750,7,1980,4,349,45.85714286,34.5,32,42,Female
9697,4306,2931,2460,948,9,1983,6,165,45.85714286,42.6,43,31,Male
6304,1912,2001,2391,1249,8,1987,2,34,44.42857143,32.5,57,26,Male
7993,4618,500,2875,503,6,2007,4,66,41,29,41,44,Female
8507,933,3408,4166,900,4,2001,2,38,48.25,30,37,26,Male
4360,1499,1331,1530,199,4,1991,1,423,37,35,14,35,Male
5681,2080,1015,2586,1944,7,1983,4,298,28.5,28,28,28,Female
7474,2359,973,4142,3295,6,1981,2,13,45.33333333,46,41,38,Male
12355,7672,1891,2792,185,13,1997,6,1249,42.6,48.33333333,22,23,Female
11944,5454,2716,3774,1540,7,2010,2,101,47.5,25.5,38,28,Male
9545,4957,2429,2159,1054,10,2010,6,457,66.33333333,42.5,54,48,Male
10944,4120,707,6117,5568,8,1989,2,19,38.625,31,42,31,Male
1522,734,111,677,566,4,2010,1,331,26.25,22,24,22,Male
16854,9276,1036,6542,2986,10,2009,6,344,28.9,22.6,19,17,Female
9357,5734,1691,1932,721,14,1992,8,8,38,31.14285714,25,36,Female
11042,1872,5067,4103,1093,5,2009,6,10,34.5,37.4,30,37,Male
7598,3573,150,3875,2433,4,2008,2,34,31.66666667,51.5,43,42,Female
3152,750,303,2099,1751,4,1996,3,100,41.5,38.66666667,38,48,Female
6157,3468,1037,1652,622,7,1998,3,70,40,31.66666667,23,27,Female
11647,8099,325,3223,2898,10,1995,1,46,39,33,36,33,Male
3547,2599,235,713,106,9,2008,2,87,44.71428571,49,59,54,Female
11824,3788,4734,3302,406,4,2008,3,28,42,36.33333333,39,26,Male
3118,1447,628,1043,346,4,2004,3,159,39,33.33333333,23,30,Female
6919,3518,105,3296,1416,2,2011,2,1,32.5,51,51,46,Female
5451,2416,1431,1604,849,5,2009,3,89,38,45.33333333,12,55,Male
7460,1699,3239,2522,1940,4,2009,7,15,39.5,31.5,22,35,Female
8369,3755,1115,3499,2907,6,1988,2,325,49.2,38.5,46,34,Male
5426,2240,1217,1969,1228,6,2010,6,7,48.5,34.25,20,51,Female
3570,2130,682,758,366,8,2003,3,310,42.875,23,57,37,Male
8610,2291,1527,4792,3984,6,1974,3,401,47.25,29.5,41,27,Male
10931,5344,1611,3976,2350,9,2009,4,12,46,37.25,26,28,Female
8394,846,4567,2981,2657,4,1995,6,46,34.66666667,35.5,40,42,Female
8589,2039,2516,4034,3124,5,1985,4,7,43.6,41.75,39,39,Male
6890,1800,2787,2303,103,7,1990,4,1,42,30.5,36,24,Male
4252,1678,1842,732,127,7,2005,4,396,36.42857143,30,18,10,Male
6103,2553,1289,2261,1144,4,1999,5,22,27,36,41,48,Female
6579,1287,3621,1671,246,4,1996,4,43,43,33.5,35,24,Male
8236,1661,1729,4846,3289,6,1991,2,184,35.4,46,46,45,Male
8090,1991,4362,1737,503,4,2003,7,16,41.25,36.33333333,43,33,Male
14523,7740,1384,5399,4670,11,1998,3,56,41.1,31.33333333,28,34,Male
3753,1662,681,1410,873,5,1994,2,23,42.75,35.5,56,34,Male
3157,501,1381,1275,975,2,1998,4,86,32.5,31.5,34,39,Female
4833,2658,1042,1133,501,6,1987,3,84,49.66666667,32.66666667,34,25,Male
6699,2960,1241,2498,1853,6,2003,2,1,44.83333333,30,44,20,Male
9293,2939,2691,3663,1706,4,1988,5,135,40.75,33,31,46,Female
6375,4731,0,1644,91,8,2014,1,6,56.16666667,37,37,67,Female
13732,5452,3140,5140,2247,6,2010,3,3,58.5,56,54,61,Female
11600,3380,4167,4053,3070,6,2013,6,40,56.5,42.66666667,64,42,Female
15227,1075,7250,6902,352,4,2013,3,8,48.33333333,56,43,44,Male
8815,2492,3023,3300,2417,4,2014,5,45,48.33333333,43,63,26,Male
16388,6027,5713,4648,1820,10,2014,8,27,31,26.25,44,46,Male
8699,4074,272,4353,4081,14,2015,1,74,58.75,47,59,47,Male
9881,3285,3189,3407,1907,5,2015,11,31,41,33.75,21,25,Female
8483,2848,1952,3683,2776,5,2015,4,5,60.6,46.33333333,75,57,Male
9975,7000,401,2574,1379,12,2014,3,4,33.66666667,27.5,31,29,Female
5993,320,2740,2933,2613,1,2013,8,18,40,42.25,52,40,Female
4111,2264,638,1209,792,4,2015,2,12,34.5,24.5,30,23,Male
7202,2029,264,4909,4645,6,2014,1,32,42,49,38,49,Male
7574,665,2790,4119,3454,1,2015,6,7,71,46.33333333,76,71,Female
5600,478,3558,1564,442,3,2012,5,6,54.5,43.25,62,48,Male
8722,1552,3149,4021,2801,3,2015,6,7,52.5,66.33333333,72,33,Female
6773,4937,240,1596,627,11,2014,2,97,42.625,28,29,68,Female
7627,0,3266,4361,2155,1,2014,5,1,47,61,47,36,Male
4907,1255,2515,1137,669,4,2014,8,136,26,48.28571429,31,34,Female
6855,2019,2031,2805,1815,3,2015,4,367,50.66666667,48.5,44,59,Female
8935,2596,827,5512,4804,5,2013,2,1,31.4,33.5,36,31,Male
3629,565,617,2447,2219,3,2014,4,3,52,44,55,50,Female
8278,3667,2296,2315,920,10,2014,5,2,48,51,61,50,Male
5360,1087,1274,2999,1725,6,2006,1,1,35.5,35,30,35,Male
9699,1938,2373,5388,4024,5,2015,3,6,29.8,35,24,22,Male
11345,1740,5433,4172,3301,2,2015,6,2,38,36.8,32,38,Female
8417,2128,3117,3172,1599,11,2014,6,4,55.83333333,57.4,57,63,Male
10089,1843,2094,6152,4840,5,2014,3,34,42,60,34,60,Male
4184,1796,752,1636,1191,7,2014,2,2,49.2,38.5,46,32,Male
6548,1278,3380,1890,907,3,2010,7,4,42,55.8,51,50,Female
11207,4963,1843,4401,2558,9,2012,1,8,48,55,42,55,Male
7882,2924,1120,3838,1950,5,2015,4,10,43,43.25,26,9,Female
1371,186,867,318,132,1,2012,4,15,32,23.25,24,32,Female
7134,2516,1924,2694,1671,5,2014,4,46,48.66666667,51,64,44,Male
20347,5193,4711,10443,7446,6,2015,3,18,45,31,38,40,Male
5886,2447,1688,1751,795,7,2015,4,4,50.4,39.75,30,60,Female
3832,1323,639,1870,1231,3,2010,1,39,60,35,49,35,Male
8020,3058,1679,3283,1886,6,2014,7,1,30.4,41.71428571,26,28,Female
3906,2822,0,1084,23,6,2014,1,54,39.5,16,16,15,Female
5892,2355,873,2664,2116,3,2013,2,200,38,70.5,49,54,Male
9212,2625,2130,4457,2756,3,2015,5,1,46.5,33.33333333,23,39,Female
12719,5997,724,5998,5274,12,2014,1,35,54.5,65,43,65,Male
10392,5015,1730,3647,2641,5,2013,3,155,46.75,29.33333333,38,28,Male
4934,883,1220,2831,2534,4,2015,8,0,54.66666667,62,81,66,Female
9388,6371,1449,1568,1123,14,2015,7,62,45,40,41,51,Male
5793,2205,1694,1894,396,9,2014,2,38,42.5,35.5,32,31,Male
11542,7001,849,3692,1760,14,2015,4,2,57.1,46.25,46,79,Female
9848,3869,1499,4480,3436,7,2014,2,8,46.6,34.5,49,29,Male
11481,2918,4796,3767,290,11,2015,4,34,50.36363636,50.5,39,70,Male
7074,1858,1741,3475,1852,4,2012,2,206,42.33333333,37.5,47,42,Male
8345,3796,1287,3262,2113,7,2015,2,2,55.16666667,36,76,45,Male
8545,5043,1294,2208,1134,8,1997,2,187,45.875,36.5,34,27,Male
2402,474,704,1224,973,3,1998,4,158,37.33333333,27.33333333,49,38,Male
4541,1570,1892,1079,423,4,1959,4,880,52.75,56.75,69,46,Female
3963,1579,1225,1159,621,4,1999,3,292,53,39.33333333,29,39,Female
4589,2280,179,2130,1951,3,1999,1,241,25,65,26,65,Male
5732,2882,699,2151,1452,6,2001,1,222,31.83333333,21,28,21,Male
5708,2936,1301,1471,549,6,1996,2,196,49.5,60,63,34,Male
7585,3940,1191,2454,2027,10,1998,3,12,35,31.66666667,29,24,Male
12304,6664,1095,4545,3999,10,1999,3,234,47.4,49.33333333,43,38,Male
8412,1905,1044,5463,4835,7,1997,3,109,47.33333333,47,45,37,Male
10342,4552,2035,3755,2047,7,2004,2,140,45.5,41.5,74,30,Male
7362,3192,1765,2405,1728,9,1984,5,13,41.14285714,31.75,41,23,Male
9053,4381,1512,3160,1760,8,1949,2,8,45.5,54.5,44,28,Male
6614,3587,946,2081,1135,6,1958,1,38,52.33333333,31,43,31,Male
1351,156,406,789,383,2,2015,1,81,49,39,49,39,Male
8983,4994,583,3406,2823,5,2013,1,80,55.6,38,42,38,Male
9261,807,4864,3590,451,4,2014,2,51,45.75,42,41,40,Male
2360,1321,250,789,539,4,2011,1,50,53,55,62,55,Male
8617,2149,1575,4893,3759,4,2006,3,181,43.25,28.33333333,40,33,Male
8174,4074,1042,3058,2016,6,2013,1,128,46.83333333,37,35,37,Male
6917,3201,487,3229,2877,8,2013,2,114,41.83333333,46.5,57,54,Male
7421,3703,674,3044,222,3,2011,3,61,48,34.33333333,28,30,Female
8266,1999,1702,4565,3220,5,2014,2,97,50.5,50,51,37,Male
6134,2273,2086,1775,561,4,2006,4,97,36.25,37.25,15,16,Male
10665,5968,305,4392,4087,13,2013,1,9,33.16666667,27,44,27,Male
4461,1839,1109,1513,917,6,2012,4,46,39.6,29.75,37,35,Female
8622,4048,2453,2121,14,5,2012,5,26,45.2,39.25,23,38,Female
7618,4039,2019,1560,769,6,2011,3,156,42,32.66666667,47,27,Male
7149,2755,1858,2536,1840,7,2013,5,75,45.42857143,35.75,49,29,Male
7368,2763,1229,3376,2805,10,2006,3,196,49.16666667,36.66666667,39,32,Male
3951,1806,999,1146,147,5,2010,1,74,49,35,47,35,Male
8036,4223,1748,2065,656,10,2013,2,78,50.33333333,25,33,36,Male
9351,3653,2276,3422,2209,9,2014,3,200,49.88888889,34.33333333,45,32,Male
1986,113,899,974,288,2,1995,2,214,61.5,46,42,61,Male
1726,367,127,1232,1105,3,1981,1,194,48.66666667,33,54,33,Male
2398,761,303,1334,1166,5,1973,2,174,43.2,31,46,24,Male
8404,5820,632,1952,187,6,1992,2,172,37.16666667,24,21,34,Female
2750,547,1326,877,356,2,2000,3,53,27.5,27.66666667,28,25,Male
3994,2757,462,775,52,8,1996,3,32,42.85714286,38.5,29,32,Female
11946,5801,2735,3410,1536,13,2007,4,32,44.09090909,50,38,48,Male
